song title,artist/band name,year,lyrics url
The End Of The Lyin',Alabama,1984,https://www.azlyrics.com/lyrics/alabama/theendofthelyin.html
Credit Card Baby,Wham!,1984,https://www.azlyrics.com/lyrics/wham/creditcardbaby.html
Stupidity,"Burke, Solomon",1984,https://www.azlyrics.com/lyrics/solomonburke/stupidity.html
Miraggi,"Bose, Miguel",1984,https://www.azlyrics.com/lyrics/miguelbose/miraggi.html
Gone To Pieces,Nik Kershaw,1984,https://www.azlyrics.com/lyrics/nikkershaw/gonetopieces.html
Mad Butcher,Destruction,1984,https://www.azlyrics.com/lyrics/destruction/madbutcher.html
Astronomy,Jethro Tull,1984,https://www.azlyrics.com/lyrics/jethrotull/astronomy.html
Voodoo,"Isaak, Chris",1985,https://www.azlyrics.com/lyrics/chrisisaak/voodoo.html
Suck(Reissue Bonus Track),"Jesus And Mary Chain, The",1985,https://www.azlyrics.com/lyrics/jesusandmarychain/suck.html
Love Can Take Us All The Way,Jack Wagner,1985,https://www.azlyrics.com/lyrics/jackwagner/lovecantakeusalltheway.html
Myzsterious Mizster Jones,Slade,1985,https://www.azlyrics.com/lyrics/slade/myzsteriousmizsterjones.html
One More Night,Stacy Lattisaw,1986,https://www.azlyrics.com/lyrics/stacylattisaw/onemorenight.html
The Voices Of Rejoicing Love,"Oak Ridge Boys, The",1986,https://www.azlyrics.com/lyrics/oakridgeboys/thevoicesofrejoicinglove.html
Talk More Talk,Paul McCartney,1986,https://www.azlyrics.com/lyrics/paulmccartney/talkmoretalk.html
Secrets Of The Night,"DeBarge, El",1986,https://www.azlyrics.com/lyrics/eldebarge/secretsofthenight.html
Love That Knows No Bounds,Rich Mullins,1987,https://www.azlyrics.com/lyrics/richmullins/lovethatknowsnobounds.html
Burning Wood,"Reyne, James",1987,https://www.azlyrics.com/lyrics/jamesreyne/burningwood.html
Breakaway,"Mason, Dave",1987,https://www.azlyrics.com/lyrics/davemason/breakaway.html
Minneapolis,ABC,1987,https://www.azlyrics.com/lyrics/abc/minneapolis.html
Shakin' the Blues Away,Tony Bennett,1987,https://www.azlyrics.com/lyrics/tonybennett/shakinthebluesaway.html
New Way To Love,REO Speedwagon,1987,https://www.azlyrics.com/lyrics/reospeedwagon/newwaytolove.html
Right Place,"Hodgson, Roger",1987,https://www.azlyrics.com/lyrics/rogerhodgson/rightplace.html
Guardian Of The Blind,Blind Guardian,1988,https://www.azlyrics.com/lyrics/blindguardian/guardianoftheblind.html
Tell The Truth,"Clapton, Eric",1988,https://www.azlyrics.com/lyrics/ericclapton/tellthetruth.html
Change Of Heart,Four Tops,1988,https://www.azlyrics.com/lyrics/fourtops/changeofheart.html
They Catch Secrets,Camouflage,1988,https://www.azlyrics.com/lyrics/camouflage/theycatchsecrets.html
Dogshit,Skinny Puppy,1988,https://www.azlyrics.com/lyrics/skinnypuppy/dogshit.html
You Been On My Mind,"Harris, Emmylou",1988,https://www.azlyrics.com/lyrics/emmylouharris/youbeenonmymind.html
Christmas In The Mountains,Faron Young,1988,https://www.azlyrics.com/lyrics/faronyoung/christmasinthemountains.html
One More Chance,Eric Clapton,1988,https://www.azlyrics.com/lyrics/ericclapton/onemorechance.html
Tender Comrade,Billy Bragg,1988,https://www.azlyrics.com/lyrics/billybragg/tendercomrade.html
Loco In Acapulco,Four Tops,1988,https://www.azlyrics.com/lyrics/fourtops/locoinacapulco.html
The Word Justice,"Browne, Jackson",1989,https://www.azlyrics.com/lyrics/jacksonbrowne/thewordjustice.html
Dr. Feelgood (Demo),Motley Crue,1989,https://www.azlyrics.com/lyrics/motleycrue/drfeelgooddemo.html
No Easy Out,"Gap Band, The",1989,https://www.azlyrics.com/lyrics/gapband/noeasyout.html
La Casa Del Sol Naciente(The House of the Rising Sun),"Guzman, Alejandra",1989,https://www.azlyrics.com/lyrics/alejandraguzman/lacasadelsolnaciente.html
Free World,Kirsty MacColl,1989,https://www.azlyrics.com/lyrics/kirstymaccoll/freeworld.html
Baby Don't Say Goodbye,Dead Or Alive,1989,https://www.azlyrics.com/lyrics/deadoralive/babydontsaygoodbye.html
Lucky Day,Dead Or Alive,1990,https://www.azlyrics.com/lyrics/deadoralive/luckyday.html
Shopping For Dresses,"Travis, Randy",1990,https://www.azlyrics.com/lyrics/randytravis/shoppingfordresses.html
Rap Like Me,Too $hort,1990,https://www.azlyrics.com/lyrics/toohort/raplikeme.html
Planned Obsolescence,10000 Maniacs,1990,https://www.azlyrics.com/lyrics/10000maniacs/plannedobsolescence.html
Higher Than Hope,Daryl Braithwaite,1990,https://www.azlyrics.com/lyrics/darylbraithwaite/higherthanhope.html
We Never Had It So Good,Tom Robinson,1990,https://www.azlyrics.com/lyrics/tomrobinson/weneverhaditsogood.html
Depend On You,BeBe & CeCe Winans,1991,https://www.azlyrics.com/lyrics/bebececewinans/dependonyou.html
Lonely Lady #17,"Diamond, Neil",1991,https://www.azlyrics.com/lyrics/neildiamond/lonelylady17.html
La Patillalera,"Vives, Carlos",1991,https://www.azlyrics.com/lyrics/carlosvives/lapatillalera.html
Gee Whiz,Cherrelle,1991,https://www.azlyrics.com/lyrics/cherrelle/geewhiz.html
Smells Like Teen Spirit,Nirvana,1991,https://www.azlyrics.com/lyrics/nirvana/smellsliketeenspirit.html
Polish,Fugazi,1991,https://www.azlyrics.com/lyrics/fugazi/polish.html
The Last Payday,"Harry Connick, Jr.",1991,https://www.azlyrics.com/lyrics/harryconnickjr/thelastpayday.html
Alien Being,"Magnetic Fields, The",1992,https://www.azlyrics.com/lyrics/magneticfields/alienbeing.html
What's It Gonna Take,"Hewitt, Jennifer Love",1992,https://www.azlyrics.com/lyrics/jenniferlovehewitt/whatsitgonnatake.html
Mom & Dad,"Zappa, Frank",1992,https://www.azlyrics.com/lyrics/frankzappa/momdad.html
Winter Wonderland,Amy Grant,1992,https://www.azlyrics.com/lyrics/amygrant/winterwonderland.html
For Reasons I've Forgotten,Trisha Yearwood,1992,https://www.azlyrics.com/lyrics/trishayearwood/forreasonsiveforgotten.html
Hometown Honeymoon,Alabama,1992,https://www.azlyrics.com/lyrics/alabama/hometownhoneymoon.html
Desperado,"Anderson, Lynn",1992,https://www.azlyrics.com/lyrics/lynnanderson/desperado.html
Do Wah Diddy Diddy,"Diamond, Neil",1993,https://www.azlyrics.com/lyrics/neildiamond/dowahdiddydiddy.html
What About It?,Guided By Voices,1993,https://www.azlyrics.com/lyrics/guidedbyvoices/whataboutit.html
Wrap My Arms,"Carlisle, Belinda",1993,https://www.azlyrics.com/lyrics/belindacarlisle/wrapmyarms.html
Killers,Ice-T,1993,https://www.azlyrics.com/lyrics/icet/killers.html
Shotgun Wedding,Rod Stewart,1993,https://www.azlyrics.com/lyrics/rodstewart/shotgunwedding.html
Say You(2008 Reissue Bonus Track),"Phair, Liz",1993,https://www.azlyrics.com/lyrics/lizphair/sayyou.html
Paris1798430,"Campbell, Tevin",1993,https://www.azlyrics.com/lyrics/tevincampbell/paris1798430.html
Brainstorm,Monster Magnet,1993,https://www.azlyrics.com/lyrics/monstermagnet/brainstorm.html
Disconnected,"Benatar, Pat",1993,https://www.azlyrics.com/lyrics/patbenatar/disconnected.html
Orgasm,Porno For Pyros,1993,https://www.azlyrics.com/lyrics/pornoforpyros/orgasm.html
El Gato,Banda Los Recoditos,1994,https://www.azlyrics.com/lyrics/bandalosrecoditos/elgato.html
O Come All Ye Faithful,"Summer, Donna",1994,https://www.azlyrics.com/lyrics/donnasummer/ocomeallyefaithful.html
You Couldn't Be Cuter,"Fitzgerald, Ella",1994,https://www.azlyrics.com/lyrics/ellafitzgerald/youcouldntbecuter.html
Ave Maria,Diana Ross,1994,https://www.azlyrics.com/lyrics/dianaross/avemaria.html
Where Will You Be,Yes,1994,https://www.azlyrics.com/lyrics/yes/wherewillyoube.html
Dragons,"Nail, Jimmy",1994,https://www.azlyrics.com/lyrics/jimmynail/dragons.html
Uncle John's Band,Jimmy Buffett,1994,https://www.azlyrics.com/lyrics/jimmybuffett/unclejohnsband.html
G's,Scarface,1994,https://www.azlyrics.com/lyrics/scarface/gs.html
Love Has A Hold On Me,"Grant, Amy",1994,https://www.azlyrics.com/lyrics/amygrant/lovehasaholdonme.html
Parade,Alphaville,1994,https://www.azlyrics.com/lyrics/alphaville/parade.html
Wish I Could,"Jesus And Mary Chain, The",1994,https://www.azlyrics.com/lyrics/jesusandmarychain/wishicould.html
